Userid,Name,Email,Status,"Last seen location (latitude, longitude)",Time of day,Day of the week,Month,Weather,Academic calendar events,Building
u14ruis28,Sophia Jones,jones.9618@osu.edu,idle,"40.000738, -83.008911",12:45,Sunday,May,Cloudy,Regular,wexner center
uywj48ftw,Isabella Perez,perez.2424@osu.edu,active,"40.001811, -83.013411",17:15,Saturday,December,Cloudy,Finals season,18th Avenue library
uy2ot5fzk,Luna Wright,wright.9958@osu.edu,active,"39.999110, -83.014289",13:30,Friday,March,Cloudy,Regular,Thompson library
uf18w6jvv,William Martinez,martinez.5720@osu.edu,idle,"39.999548, -83.015091",01:15,Wednesday,April,Sunny,Regular,Thompson library
us16qin2n,Isabella Smith,smith.8470@osu.edu,idle,"40.001660, -83.013626",06:30,Tuesday,April,Rain,Finals season,18th Avenue library
ua1edwu6n,Ella Scott,scott.6761@osu.edu,idle,"40.001701, -83.013194",21:15,Sunday,November,Cloudy,Regular,18th Avenue library
u8x7krekz,Harper Johnson,johnson.9283@osu.edu,idle,"39.999353, -83.014335",15:15,Sunday,April,Rain,Finals season,Thompson library
uv0rf718q,Lorenzo Lee,lee.396@osu.edu,idle,"40.001668, -83.013112",06:00,Thursday,May,Sunny,Regular,18th Avenue library
umk93v4mf,Luna Anderson,anderson.2202@osu.edu,idle,"39.999472, -83.014575",15:15,Monday,March,Rain,Midterms season,Thompson library
u5cqupqi8,Natalia Gonzalez,gonzalez.3796@osu.edu,active,"40.000958, -83.009177",12:45,Saturday,November,Rain,Regular,wexner center
uzgpkhnbt,Aiden Miller,miller.9528@osu.edu,active,"39.997193, -83.009236",14:15,Monday,December,Cloudy,Finals season,Ohio Union
uz0d8xmbe,Isabella Adams,adams.7832@osu.edu,active,"39.998207, -83.012169",09:30,Tuesday,January,Snow,Regular,orton library
udhhj78vb,Carlos King,king.8011@osu.edu,idle,"40.000891, -83.008744",15:00,Thursday,November,Cloudy,Regular,wexner center
uamy2f860,Charlotte Rivera,rivera.8088@osu.edu,idle,"40.001156, -83.008788",14:15,Monday,September,Cloudy,Regular,wexner center
uflnfez2b,Gianna Lopez,lopez.4479@osu.edu,active,"39.998392, -83.011627",10:30,Sunday,December,Cloudy,Finals season,orton library
ub1ti8uxq,Emma Hernandez,hernandez.5687@osu.edu,active,"39.999113, -83.014769",15:15,Sunday,November,Sunny,Regular,Thompson library
uiqkbo7ox,Amelia Lewis,lewis.5469@osu.edu,idle,"39.999283, -83.014836",12:45,Monday,December,Cloudy,Regular,Thompson library
u6hoz2thc,Olivia Nguyen,nguyen.5354@osu.edu,active,"39.999122, -83.015380",18:30,Wednesday,March,Cloudy,Midterms season,Thompson library
ucd95927j,Liam Carter,carter.3651@osu.edu,active,"39.998240, -83.012063",16:00,Thursday,October,Cloudy,Midterms season,orton library
uvxx87cjg,Natalia Clark,clark.4303@osu.edu,idle,"40.001748, -83.013220",12:30,Thursday,October,Cloudy,Midterms season,18th Avenue library
unfy2qjwn,Oliver Sanchez,sanchez.2478@osu.edu,active,"40.001818, -83.013063",16:00,Wednesday,December,Cloudy,Regular,18th Avenue library
u2d37cjfz,Luna Harris,harris.8704@osu.edu,idle,"39.999483, -83.014477",10:45,Monday,December,Rain,Regular,Thompson library
uu8cikbp9,Elizabeth Moore,moore.746@osu.edu,active,"40.001762, -83.013556",08:00,Friday,November,Sunny,Regular,18th Avenue library
uqxud4fii,Charlotte Johnson,johnson.6974@osu.edu,active,"39.998339, -83.012084",22:30,Tuesday,January,Cloudy,Regular,orton library
ug2pydj1y,Andrea Ramirez,ramirez.7486@osu.edu,active,"39.999058, -83.014487",16:30,Friday,November,Rain,Regular,Thompson library
u2sn4qiqf,Gabriel Jones,jones.6042@osu.edu,active,"40.001583, -83.013108",11:15,Wednesday,August,Sunny,Regular,18th Avenue library
ufll0qw93,Olivia Williams,williams.4083@osu.edu,active,"40.001769, -83.013492",12:15,Sunday,November,Rain,Regular,18th Avenue library
ul74n3wkx,Isabella King,king.3785@osu.edu,active,"40.001690, -83.013315",21:30,Tuesday,October,Cloudy,Midterms season,18th Avenue library
un2dwqh3g,Avery Torres,torres.3382@osu.edu,active,"39.998455, -83.012081",20:45,Friday,November,Cloudy,Regular,orton library
um3v2g9w6,Natalia Nguyen,nguyen.8433@osu.edu,active,"39.998967, -83.015126",22:15,Sunday,October,Sunny,Midterms season,Thompson library
u6cjb4sl9,William Anderson,anderson.5026@osu.edu,active,"40.001709, -83.013467",16:00,Friday,February,Rain,Regular,18th Avenue library
urw5ruwnv,Luna Garcia,garcia.4475@osu.edu,idle,"39.998271, -83.011652",13:30,Friday,November,Rain,Regular,orton library
uh6dvcuci,Jackson Sanchez,sanchez.2934@osu.edu,idle,"39.999582, -83.015114",16:00,Sunday,February,Cloudy,Regular,Thompson library
uwz9udp36,Sebastian Perez,perez.1249@osu.edu,active,"39.998231, -83.011619",15:45,Sunday,September,Sunny,Regular,orton library
unsg6crcs,Logan Anderson,anderson.9787@osu.edu,active,"39.999094, -83.014311",19:00,Wednesday,October,Rain,Regular,Thompson library
u0yodtdac,Noah Jackson,jackson.9312@osu.edu,active,"40.001685, -83.013270",00:45,Thursday,September,Cloudy,Regular,18th Avenue library
u8dkgs8m3,Ella Baker,baker.1241@osu.edu,active,"39.998994, -83.014962",20:30,Tuesday,April,Rain,Finals season,Thompson library
uo2qc9zvr,Avery Campbell,campbell.5233@osu.edu,active,"40.000309, -83.008735",05:15,Sunday,October,Cloudy,Midterms season,wexner center
u65jfre6n,Lorenzo Moore,moore.7173@osu.edu,active,"39.997577, -83.008046",20:15,Thursday,April,Rain,Finals season,Ohio Union
ucw5uri7s,Emily Lewis,lewis.4733@osu.edu,active,"40.000536, -83.008858",01:30,Wednesday,January,Snow,Regular,wexner center
ut426c9fo,Noah Ramirez,ramirez.9552@osu.edu,active,"39.999110, -83.014710",19:45,Thursday,April,Rain,Finals season,Thompson library
u0g4j18q8,Andrea Nelson,nelson.1997@osu.edu,active,"40.003774, -83.017043",16:30,Monday,January,Snow,Regular,Knowlton Hall
ug3t6z4cd,Luna Sanchez,sanchez.7423@osu.edu,active,"40.001762, -83.013287",17:15,Sunday,March,Cloudy,Midterms season,18th Avenue library
umq9ptaha,Evelyn Williams,williams.1455@osu.edu,active,"39.997375, -83.008891",14:00,Monday,January,Snow,Regular,Ohio Union
u2mjunq65,Sophia Thomas,thomas.934@osu.edu,active,"39.998926, -83.015295",20:15,Sunday,September,Cloudy,Regular,Thompson library
u8c9oq265,Jack Brown,brown.6366@osu.edu,idle,"39.997228, -83.008071",23:45,Sunday,August,Cloudy,Regular,Ohio Union
umvphtefj,Alexander Green,green.4906@osu.edu,idle,"39.998431, -83.011864",17:15,Tuesday,July,Sunny,Regular,orton library
uk353ixd7,Juan Davis,davis.1663@osu.edu,active,"39.999007, -83.015124",19:45,Sunday,March,Sunny,Regular,Thompson library
udf3ox4sv,Liam Hill,hill.3994@osu.edu,active,"40.001295, -83.010073",17:30,Saturday,October,Sunny,Midterms season,wexner center
uejou8849,Daniel Lee,lee.3803@osu.edu,active,"39.997926, -83.009216",17:30,Tuesday,March,Cloudy,Midterms season,Ohio Union
uszh4a109,Harper Ramirez,ramirez.9807@osu.edu,idle,"40.003559, -83.016269",01:15,Wednesday,September,Sunny,Regular,Knowlton Hall
uw4xn0m8s,Ava King,king.607@osu.edu,active,"40.001827, -83.013675",08:45,Monday,October,Cloudy,Regular,18th Avenue library
u0s96le4y,Lucas White,white.7647@osu.edu,active,"40.001835, -83.013463",17:00,Tuesday,April,Rain,Finals season,18th Avenue library
usrubp0y4,Sophia Mitchell,mitchell.5028@osu.edu,active,"40.003519, -83.017439",14:00,Thursday,August,Cloudy,Regular,Knowlton Hall
usmh4s3oz,Ethan Green,green.4008@osu.edu,active,"39.998582, -83.009023",08:45,Wednesday,September,Rain,Regular,Ohio Union
ukkkddxoa,Elizabeth Thomas,thomas.8011@osu.edu,idle,"39.999185, -83.014868",21:30,Tuesday,June,Rain,Regular,Thompson library
uf3u247l9,Gabriel Adams,adams.1116@osu.edu,idle,"39.999058, -83.014606",22:15,Monday,November,Rain,Regular,Thompson library
u0wandg91,Liam Ramirez,ramirez.1029@osu.edu,active,"39.997636, -83.009195",18:00,Thursday,August,Sunny,Regular,Ohio Union
upxzczwjg,Sophia Harris,harris.4900@osu.edu,active,"40.003510, -83.016615",14:45,Sunday,May,Sunny,Regular,Knowlton Hall
uzmp1m80g,Amelia Campbell,campbell.3309@osu.edu,active,"39.998596, -83.008177",09:15,Thursday,October,Cloudy,Midterms season,Ohio Union
unutbd9op,Evelyn Robinson,robinson.9523@osu.edu,idle,"40.003878, -83.016608",23:00,Thursday,January,Cloudy,Regular,Knowlton Hall
u9qhwuzp2,Isabella Thompson,thompson.2252@osu.edu,idle,"40.000782, -83.009162",20:15,Wednesday,September,Sunny,Regular,wexner center
ufwnd2n1p,Isabella Clark,clark.7618@osu.edu,active,"40.003586, -83.017144",17:45,Thursday,May,Rain,Finals season,Knowlton Hall
u1ys99izc,Benjamin Wright,wright.9739@osu.edu,idle,"40.001510, -83.013601",10:30,Tuesday,August,Rain,Regular,18th Avenue library
uwpogxvhb,Mateo Campbell,campbell.3015@osu.edu,idle,"40.001579, -83.013579",16:45,Wednesday,March,Sunny,Midterms season,18th Avenue library
umbg06ia8,Elizabeth King,king.3387@osu.edu,active,"39.997440, -83.008782",12:30,Tuesday,April,Cloudy,Finals season,Ohio Union
uadcwdh2l,Andrea Williams,williams.5688@osu.edu,active,"40.003496, -83.016793",08:15,Monday,September,Cloudy,Regular,Knowlton Hall
ubmxr3v1l,Santiago Clark,clark.7372@osu.edu,idle,"39.999342, -83.015420",14:30,Tuesday,April,Rain,Finals season,Thompson library
u877kl69w,Amelia Rodriguez,rodriguez.4235@osu.edu,idle,"40.001653, -83.013178",19:00,Tuesday,February,Cloudy,Regular,18th Avenue library
u2zr03kks,Elijah Nguyen,nguyen.2982@osu.edu,active,"40.000645, -83.008758",12:45,Monday,September,Sunny,Regular,wexner center
u1po0cjvo,Henry Hernandez,hernandez.1535@osu.edu,idle,"40.003458, -83.017007",22:00,Wednesday,January,Snow,Regular,Knowlton Hall
uymi2ntqk,Emily Roberts,roberts.5249@osu.edu,active,"39.999138, -83.014345",14:00,Monday,March,Sunny,Midterms season,Thompson library
uj9vp2s1a,Jackson Mitchell,mitchell.6191@osu.edu,active,"40.001734, -83.013669",14:45,Wednesday,October,Cloudy,Regular,18th Avenue library
uwx2gryxn,Luna Flores,flores.942@osu.edu,active,"39.998484, -83.009169",10:00,Monday,April,Rain,Finals season,Ohio Union
uoscj692s,Sebastian Williams,williams.6139@osu.edu,active,"40.001843, -83.013436",16:00,Tuesday,March,Rain,Regular,18th Avenue library
u9arpcgf3,Harper Walker,walker.2451@osu.edu,active,"40.001677, -83.013192",10:30,Monday,December,Cloudy,Finals season,18th Avenue library
u4i4ep8cq,Carlos Jackson,jackson.814@osu.edu,active,"39.999256, -83.014446",15:15,Monday,December,Snow,Finals season,Thompson library
u3h9edp3p,Gianna Sanchez,sanchez.2257@osu.edu,active,"39.998994, -83.014928",14:15,Wednesday,January,Cloudy,Regular,Thompson library
ugpolgzqz,Emma Rivera,rivera.6514@osu.edu,idle,"39.999507, -83.014893",11:15,Tuesday,February,Cloudy,Regular,Thompson library
ue2actgrk,Luna Mitchell,mitchell.7145@osu.edu,idle,"39.998454, -83.008866",19:30,Monday,March,Rain,Midterms season,Ohio Union
uzfd6d120,Michael Sanchez,sanchez.6485@osu.edu,active,"40.003563, -83.015973",20:15,Wednesday,January,Snow,Regular,Knowlton Hall
u4yclkvca,William Thomas,thomas.475@osu.edu,idle,"40.003658, -83.016132",19:30,Saturday,March,Rain,Regular,Knowlton Hall
uv5dteuy1,Olivia Garcia,garcia.8831@osu.edu,active,"40.003855, -83.016272",14:30,Monday,March,Cloudy,Midterms season,Knowlton Hall
ugsdn5gpj,Lucas Garcia,garcia.9314@osu.edu,active,"39.999383, -83.015331",14:15,Sunday,September,Cloudy,Regular,Thompson library
uzkrq9fax,Camila Walker,walker.2855@osu.edu,active,"39.999262, -83.015356",22:15,Friday,March,Rain,Midterms season,Thompson library
uublrsh1o,Carlos Perez,perez.5909@osu.edu,active,"40.001823, -83.013619",12:00,Sunday,October,Cloudy,Midterms season,18th Avenue library
ujfmrs2tj,Oliver Thomas,thomas.9011@osu.edu,active,"39.998120, -83.012128",14:45,Monday,March,Sunny,Midterms season,orton library
umfeys7kv,Andrea Miller,miller.7783@osu.edu,active,"40.001581, -83.013554",17:15,Sunday,November,Cloudy,Regular,18th Avenue library
u1ivwcn3o,Ava Scott,scott.9699@osu.edu,idle,"39.998287, -83.009063",14:15,Sunday,October,Rain,Midterms season,Ohio Union
uqjr6hd1w,Elizabeth Harris,harris.4810@osu.edu,active,"39.998381, -83.011711",14:15,Thursday,March,Cloudy,Regular,orton library
uux47ngf3,Santiago White,white.2019@osu.edu,active,"40.001732, -83.013649",14:30,Sunday,December,Snow,Regular,18th Avenue library
u5ccrmbjm,Ethan Brown,brown.8233@osu.edu,idle,"39.999617, -83.014851",10:30,Wednesday,March,Sunny,Midterms season,Thompson library
uxim7n0gl,Logan Hall,hall.5288@osu.edu,idle,"39.998121, -83.012108",21:00,Monday,March,Rain,Midterms season,orton library
ur374oeua,William Moore,moore.403@osu.edu,active,"40.001521, -83.013095",12:00,Thursday,March,Cloudy,Regular,18th Avenue library
u0wq6rzhi,Sophia Taylor,taylor.5993@osu.edu,active,"39.999553, -83.014564",15:45,Thursday,March,Cloudy,Midterms season,Thompson library
um70ykhqt,Ethan Thomas,thomas.1429@osu.edu,active,"40.001654, -83.013655",20:00,Friday,September,Rain,Regular,18th Avenue library
upjiovegg,Santiago Jones,jones.982@osu.edu,idle,"40.001774, -83.013696",00:30,Monday,March,Cloudy,Regular,18th Avenue library
unmbhy6fb,Alexander Miller,miller.6652@osu.edu,active,"39.998496, -83.011862",19:00,Sunday,March,Cloudy,Midterms season,orton library
upvqrq03g,Emily Lee,lee.299@osu.edu,idle,"39.999277, -83.014932",05:30,Monday,October,Sunny,Regular,Thompson library
u22v3tkli,Evelyn Nelson,nelson.5705@osu.edu,active,"39.999200, -83.014751",11:30,Tuesday,September,Rain,Regular,Thompson library
uni2q5hop,Noah Torres,torres.3251@osu.edu,idle,"39.999490, -83.014401",10:45,Friday,September,Cloudy,Regular,Thompson library
uay1iztij,Maria Martinez,martinez.6427@osu.edu,idle,"40.003497, -83.017104",10:15,Friday,December,Sunny,Finals season,Knowlton Hall
umgsjzcd7,Benjamin Wright,wright.6094@osu.edu,idle,"39.998572, -83.008762",13:15,Tuesday,April,Rain,Finals season,Ohio Union
uw3vtd1g6,Olivia White,white.5251@osu.edu,active,"40.003492, -83.017021",19:45,Tuesday,February,Rain,Regular,Knowlton Hall
ujob20kkw,Jackson Smith,smith.9369@osu.edu,active,"39.999051, -83.014654",20:00,Monday,April,Rain,Finals season,Thompson library
uy09jf0qj,Elizabeth Green,green.7968@osu.edu,idle,"40.003489, -83.016645",12:00,Monday,November,Sunny,Regular,Knowlton Hall
uwo6pdgpv,Natalia Sanchez,sanchez.1698@osu.edu,active,"39.998395, -83.011939",15:45,Monday,January,Snow,Regular,orton library
uptsyk51s,Amelia Davis,davis.7956@osu.edu,active,"39.999334, -83.015045",11:15,Sunday,April,Rain,Finals season,Thompson library
uj8eest3q,Luna Lewis,lewis.5630@osu.edu,active,"39.999223, -83.015021",18:45,Sunday,July,Cloudy,Regular,Thompson library
uugh5ei7u,Diego Williams,williams.5452@osu.edu,active,"40.001489, -83.013446",18:00,Thursday,October,Sunny,Midterms season,18th Avenue library
ulqmiztmz,Michael Perez,perez.2496@osu.edu,active,"39.998480, -83.012164",21:00,Tuesday,July,Sunny,Regular,orton library
u47f7uelk,Luna Sanchez,sanchez.7936@osu.edu,idle,"40.001789, -83.013622",22:30,Monday,August,Sunny,Regular,18th Avenue library
u46ht7zrp,Maria Adams,adams.4636@osu.edu,idle,"40.003799, -83.017451",10:45,Friday,April,Rain,Finals season,Knowlton Hall
u4kti01o3,Valentina Martin,martin.5709@osu.edu,active,"39.999535, -83.014566",17:45,Tuesday,May,Cloudy,Regular,Thompson library
uvkst8s8z,Henry Harris,harris.9761@osu.edu,idle,"40.003689, -83.016811",01:45,Thursday,April,Cloudy,Finals season,Knowlton Hall
u2olbym62,Andrea Wright,wright.1929@osu.edu,active,"39.999084, -83.015125",07:45,Tuesday,April,Rain,Regular,Thompson library
u5l0a3a8y,Olivia Roberts,roberts.3377@osu.edu,active,"40.000750, -83.009070",06:45,Wednesday,November,Sunny,Regular,wexner center
uybri2su4,Maria Johnson,johnson.2462@osu.edu,active,"39.999545, -83.015344",17:45,Thursday,December,Snow,Finals season,Thompson library
u3qxvhe2l,Michael Garcia,garcia.8754@osu.edu,idle,"39.999308, -83.015011",16:30,Monday,September,Sunny,Regular,Thompson library
u0vhmgtb1,Charlotte Carter,carter.5845@osu.edu,idle,"40.001593, -83.013257",10:00,Monday,August,Sunny,Regular,18th Avenue library
ulgmb6wh8,Emily Thomas,thomas.231@osu.edu,active,"40.001028, -83.008745",09:00,Wednesday,September,Sunny,Regular,wexner center
u5hwj8m6u,Liam Allen,allen.6018@osu.edu,active,"40.001018, -83.008941",07:45,Thursday,September,Cloudy,Regular,wexner center
uwxey9qub,Emily Hill,hill.7034@osu.edu,idle,"40.000566, -83.009503",10:00,Thursday,March,Cloudy,Midterms season,wexner center
u48m6fjif,Gianna Nelson,nelson.1415@osu.edu,idle,"39.998481, -83.011878",19:30,Monday,September,Sunny,Regular,orton library
ueaxfzgq3,Sebastian Perez,perez.4470@osu.edu,active,"40.001851, -83.013312",16:00,Monday,October,Cloudy,Regular,18th Avenue library
u2l0a95mp,William Rodriguez,rodriguez.5761@osu.edu,active,"39.998279, -83.012081",14:00,Sunday,March,Cloudy,Regular,orton library
ufardlrrk,Jack Campbell,campbell.8644@osu.edu,active,"39.999014, -83.014866",14:00,Monday,November,Cloudy,Regular,Thompson library
upy4gxhlg,Jackson Garcia,garcia.4110@osu.edu,active,"40.003611, -83.016324",01:45,Tuesday,August,Sunny,Regular,Knowlton Hall
ut0q4lk6c,Valentina Smith,smith.2528@osu.edu,active,"39.998058, -83.008353",15:00,Monday,September,Cloudy,Regular,Ohio Union
up73ton1t,Ella Thompson,thompson.472@osu.edu,idle,"39.999403, -83.014394",20:30,Tuesday,October,Sunny,Midterms season,Thompson library
ub674vrf2,Mia Anderson,anderson.5719@osu.edu,active,"39.999518, -83.014515",13:30,Tuesday,September,Sunny,Regular,Thompson library
uy4q7p667,Diego Moore,moore.6534@osu.edu,active,"40.000377, -83.009237",20:30,Monday,January,Snow,Regular,wexner center
uf0omzezx,Sophia Sanchez,sanchez.2865@osu.edu,idle,"40.003888, -83.016504",09:15,Friday,November,Rain,Regular,Knowlton Hall
ughzfr5sw,Lucas Torres,torres.9309@osu.edu,active,"40.003496, -83.017567",14:15,Wednesday,September,Sunny,Regular,Knowlton Hall
u74appqxm,Henry Gonzalez,gonzalez.8146@osu.edu,active,"39.998451, -83.008282",17:30,Saturday,March,Cloudy,Midterms season,Ohio Union
uh7n8iopp,Oliver Baker,baker.8087@osu.edu,idle,"40.000953, -83.009031",23:00,Wednesday,October,Cloudy,Midterms season,wexner center
u7tl8cxgz,Noah Rodriguez,rodriguez.9385@osu.edu,idle,"40.003596, -83.017359",17:30,Tuesday,December,Sunny,Finals season,Knowlton Hall
uwcbm3657,Benjamin Allen,allen.2839@osu.edu,active,"40.001878, -83.013135",20:45,Wednesday,September,Cloudy,Regular,18th Avenue library
u1kh0nhst,Valentina Green,green.3737@osu.edu,active,"40.001318, -83.008781",20:30,Thursday,March,Cloudy,Midterms season,wexner center
u3jo4yucl,Noah Torres,torres.8779@osu.edu,idle,"39.998162, -83.012071",12:00,Sunday,October,Sunny,Regular,orton library
uvofie8qh,Elijah Jackson,jackson.8449@osu.edu,idle,"39.997482, -83.008383",01:45,Friday,September,Cloudy,Regular,Ohio Union
u8x8c6u5z,Oliver Jackson,jackson.7043@osu.edu,active,"40.001514, -83.013081",11:15,Monday,October,Cloudy,Regular,18th Avenue library
u4zrlfsxj,Olivia King,king.2216@osu.edu,idle,"39.999181, -83.014305",17:45,Sunday,March,Cloudy,Midterms season,Thompson library
um89mfztf,Camila Carter,carter.473@osu.edu,active,"39.999583, -83.014692",10:00,Wednesday,May,Sunny,Regular,Thompson library
urvqqqqny,Henry Harris,harris.344@osu.edu,active,"39.999312, -83.015086",21:30,Wednesday,May,Sunny,Regular,Thompson library
up40f314q,Evelyn Flores,flores.9549@osu.edu,active,"40.001537, -83.013132",11:45,Monday,October,Rain,Regular,18th Avenue library
uxbf14z8x,Michael Taylor,taylor.5123@osu.edu,idle,"39.999577, -83.014559",23:15,Thursday,September,Sunny,Regular,Thompson library
ua1iv5skc,Jackson Nguyen,nguyen.347@osu.edu,active,"39.998270, -83.011656",16:30,Sunday,October,Rain,Midterms season,orton library
uxdslg1we,Benjamin Davis,davis.7299@osu.edu,active,"40.001584, -83.013626",00:15,Friday,January,Cloudy,Regular,18th Avenue library
ujdn1dp6b,Evelyn Allen,allen.3141@osu.edu,active,"40.001585, -83.013104",19:45,Sunday,November,Cloudy,Regular,18th Avenue library
ulvitfniy,Camila Allen,allen.1667@osu.edu,active,"39.998565, -83.009530",11:00,Wednesday,October,Rain,Midterms season,Ohio Union
uhz4k5xyx,James Miller,miller.171@osu.edu,active,"39.999416, -83.014849",12:30,Thursday,February,Rain,Regular,Thompson library
uhq5dwcit,Liam Wright,wright.8243@osu.edu,active,"39.999245, -83.015192",20:45,Sunday,August,Sunny,Regular,Thompson library
uysdfznsp,Logan Gonzalez,gonzalez.9165@osu.edu,idle,"40.001590, -83.013285",08:45,Monday,April,Cloudy,Regular,18th Avenue library
usprr9td1,Daniel Johnson,johnson.5013@osu.edu,active,"39.999178, -83.014508",16:15,Tuesday,November,Cloudy,Regular,Thompson library
ud1fwgui4,Andrea Lopez,lopez.8293@osu.edu,active,"40.001762, -83.013061",15:45,Monday,December,Snow,Finals season,18th Avenue library
u7ctoq7as,Andrea Walker,walker.8660@osu.edu,active,"39.998248, -83.011975",06:15,Friday,March,Cloudy,Regular,orton library
uyaagsdkc,Andrea Lee,lee.3358@osu.edu,active,"39.998376, -83.012135",20:45,Wednesday,February,Snow,Regular,orton library
u1ahkedkd,Maria Scott,scott.3814@osu.edu,active,"40.001778, -83.013408",16:15,Wednesday,March,Sunny,Midterms season,18th Avenue library
ucwl64qn9,Sophia Robinson,robinson.2233@osu.edu,idle,"40.003818, -83.016925",01:30,Sunday,March,Rain,Regular,Knowlton Hall
uywiki1mu,Evelyn Garcia,garcia.7561@osu.edu,idle,"39.997396, -83.008665",14:00,Friday,February,Rain,Regular,Ohio Union
utn51m56f,Harper Brown,brown.5270@osu.edu,active,"39.999158, -83.014346",08:15,Thursday,March,Rain,Midterms season,Thompson library
uobx6e92k,Sofia Miller,miller.4984@osu.edu,active,"40.001597, -83.013445",18:15,Saturday,December,Sunny,Finals season,18th Avenue library
ud5kd74fs,Daniel Adams,adams.4214@osu.edu,active,"40.003561, -83.017217",19:45,Saturday,February,Cloudy,Regular,Knowlton Hall
u91kp72il,Gianna Johnson,johnson.4544@osu.edu,active,"40.003552, -83.017066",19:15,Monday,February,Cloudy,Regular,Knowlton Hall
ulahk34y9,James Martinez,martinez.8498@osu.edu,active,"40.000719, -83.009215",08:00,Tuesday,November,Rain,Regular,wexner center
u4iat11qf,Jackson Martin,martin.9219@osu.edu,active,"39.998482, -83.011656",22:00,Thursday,February,Sunny,Regular,orton library
umox1lr3v,Logan Williams,williams.2684@osu.edu,active,"40.003676, -83.016252",14:45,Monday,October,Sunny,Regular,Knowlton Hall
usonvf2up,Charlotte Perez,perez.879@osu.edu,idle,"40.003493, -83.017463",08:00,Tuesday,August,Cloudy,Regular,Knowlton Hall
up98z8rni,Jack Nguyen,nguyen.7950@osu.edu,idle,"39.999181, -83.014495",13:00,Sunday,May,Sunny,Regular,Thompson library
uzr8ehurp,Jackson Lee,lee.7360@osu.edu,idle,"39.999353, -83.014372",20:15,Thursday,October,Sunny,Midterms season,Thompson library
ukgsspjs8,Abigail Wilson,wilson.3304@osu.edu,active,"39.998293, -83.012055",16:00,Tuesday,October,Sunny,Regular,orton library
ut6gir6r1,Alexander Allen,allen.3711@osu.edu,active,"39.998364, -83.011807",08:15,Sunday,January,Sunny,Regular,orton library
u4hvn2cru,Aiden Young,young.6574@osu.edu,active,"40.001080, -83.009501",18:45,Sunday,April,Rain,Finals season,wexner center
ubakmne9z,Juan Rodriguez,rodriguez.662@osu.edu,active,"40.001595, -83.013596",13:45,Wednesday,February,Snow,Regular,18th Avenue library
u69he5b6u,Amelia Perez,perez.5672@osu.edu,active,"39.999291, -83.014739",14:00,Saturday,February,Snow,Regular,Thompson library
u6pdnp1xc,Carlos Allen,allen.8251@osu.edu,active,"40.001811, -83.013298",20:45,Saturday,February,Snow,Regular,18th Avenue library
uobn86f8z,Ava Carter,carter.4284@osu.edu,idle,"40.001360, -83.009062",10:30,Tuesday,October,Cloudy,Midterms season,wexner center
uwxmchth4,Lorenzo Taylor,taylor.2302@osu.edu,active,"40.003724, -83.016175",10:30,Tuesday,September,Sunny,Regular,Knowlton Hall
umk7pmder,James Taylor,taylor.3255@osu.edu,idle,"40.001532, -83.013253",00:30,Friday,January,Snow,Regular,18th Avenue library
ubx3kxw5x,Ella Young,young.4443@osu.edu,idle,"40.000092, -83.008975",11:00,Tuesday,September,Sunny,Regular,wexner center
ujzaxxi4j,Avery Clark,clark.4132@osu.edu,active,"40.001750, -83.013304",23:00,Tuesday,April,Rain,Finals season,18th Avenue library
uubx2wuwc,Valentina Walker,walker.4741@osu.edu,idle,"40.001583, -83.013255",12:45,Tuesday,March,Cloudy,Regular,18th Avenue library
upu3aoctv,Lorenzo Carter,carter.4671@osu.edu,idle,"39.998254, -83.011804",08:45,Saturday,March,Cloudy,Midterms season,orton library
uounn3xd1,Emma Miller,miller.6590@osu.edu,active,"39.998439, -83.009276",15:45,Thursday,March,Sunny,Midterms season,Ohio Union
uvrifwum1,Aiden Adams,adams.2258@osu.edu,active,"39.999183, -83.014836",17:45,Tuesday,September,Rain,Regular,Thompson library
uqkt0w35w,Lorenzo Green,green.8729@osu.edu,active,"40.001755, -83.013620",17:30,Saturday,November,Rain,Regular,18th Avenue library
uttl0r3eu,Sebastian Mitchell,mitchell.9675@osu.edu,active,"40.001828, -83.013445",15:45,Thursday,December,Cloudy,Finals season,18th Avenue library
uipa3uo01,Olivia Baker,baker.6792@osu.edu,active,"39.999461, -83.015108",15:15,Tuesday,December,Cloudy,Finals season,Thompson library
uhcr4vsrf,Charlotte Lee,lee.5641@osu.edu,active,"39.998211, -83.011648",09:30,Sunday,April,Sunny,Finals season,orton library
unsynarc7,Juan Lee,lee.4373@osu.edu,active,"39.997504, -83.008024",11:30,Tuesday,September,Cloudy,Regular,Ohio Union
u4any60wn,Olivia Jackson,jackson.9152@osu.edu,active,"39.999079, -83.014984",20:15,Thursday,October,Rain,Midterms season,Thompson library
umutp69sa,Jackson Lee,lee.8801@osu.edu,idle,"39.999206, -83.014903",19:15,Saturday,November,Sunny,Regular,Thompson library
u7pl7qvuh,Luna Johnson,johnson.5517@osu.edu,active,"40.003904, -83.016196",18:30,Thursday,October,Cloudy,Midterms season,Knowlton Hall
ulrmpgeuo,Jackson Garcia,garcia.5588@osu.edu,idle,"40.001632, -83.013039",10:30,Tuesday,December,Cloudy,Regular,18th Avenue library
uklmshivt,Olivia Nguyen,nguyen.4114@osu.edu,idle,"40.001759, -83.013592",20:45,Thursday,May,Rain,Finals season,18th Avenue library
